Track,Album Name,Artist,Release Date,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Playlist Reach,Apple Music Playlist Count,SiriusXM Spins,Deezer Playlist Count,Amazon Playlist Count,Shazam Counts,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby  Single,Tommy Richman,2024-04-26,390470936.0,30716.0,196631588.0,150597040.0,210.0,684.0,62.0,114.0,2669262.0,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-04-05,323703884.0,28113.0,174597137.0,156380351.0,188.0,3.0,67.0,111.0,1118279.0,1
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,601309283.0,54331.0,211607669.0,373784955.0,190.0,536.0,136.0,172.0,5285340.0,0
Flowers,Flowers  Single,Miley Cyrus,2023-12-01,2031280633.0,269802.0,136569078.0,3351188582.0,394.0,2182.0,264.0,210.0,11822942.0,0
Houdini,Houdini,Eminem,2024-05-31,107034922.0,7223.0,151469874.0,112763851.0,182.0,1.0,82.0,105.0,457017.0,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-10-11,670665438.0,105892.0,175421034.0,2867222632.0,138.0,4654.0,86.0,152.0,4517131.0,1
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,900158751.0,73118.0,201585714.0,4601579812.0,280.0,429.0,168.0,154.0,9990302.0,0
Gata Only,Gata Only,FloyyMenor,2024-02-02,675079153.0,40094.0,211236940.0,2112581620.0,160.0,30.0,87.0,53.0,6063523.0,1
Danza Kuduro  Cover,Unknown,MUSIC LAB JPN,2024-09-06,1653018119.0,1.0,15.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
BAND4BAND feat Lil Baby,BAND4BAND feat Lil Baby,Central Cee,2024-05-23,90676573.0,10400.0,184199419.0,174706874.0,191.0,117.0,78.0,92.0,666302.0,1
I Had Some Help feat Morgan Wallen,I Had Some Help,Post Malone,2024-10-05,250080413.0,16219.0,168766158.0,327130768.0,157.0,71.0,60.0,114.0,963413.0,1
The Door,The Door,Teddy Swims,2024-06-14,111155129.0,2.0,263767.0,97746040.0,28.0,86.0,15.0,2.0,854584.0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,221636195.0,13800.0,197280692.0,342107131.0,244.0,45.0,138.0,163.0,450344.0,0
Like That,WE DONT TRUST YOU,Future,2024-03-22,355186436.0,43025.0,108168634.0,174491415.0,153.0,3.0,55.0,109.0,1963314.0,1
bathroom floor,bathroom floor,Kids With Buns,2022-07-10,297185.0,277.0,24445.0,97746040.0,1.0,86.0,15.0,17.0,3288.0,0
LALA,LALA  Single,Myke Towers,2023-03-22,925655569.0,103605.0,79944921.0,2042145659.0,94.0,228.0,60.0,83.0,2765808.0,1
Fortnight feat Post Malone,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,395433400.0,12784.0,177932568.0,268893710.0,221.0,3.0,99.0,134.0,1210029.0,0
greedy,greedy,Tate McRae,2023-09-14,1258569694.0,105218.0,198845580.0,2667285437.0,207.0,3310.0,188.0,150.0,6973652.0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,91272461.0,6499.0,52287548.0,5839168.0,76.0,1.0,24.0,33.0,257661.0,0
As It Was,As It Was,Harry Styles,2022-03-31,3301814535.0,407119.0,169783402.0,7289707052.0,455.0,4909.0,330.0,189.0,14967379.0,0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-04-08,1065399331.0,170890.0,121712197.0,1063591802.0,158.0,273.0,143.0,146.0,7559816.0,1
Espresso,Espresso,Sabrina Carpenter,2024-12-04,547882871.0,24425.0,262343414.0,422646034.0,298.0,236.0,167.0,149.0,1373085.0,1
Danza Kuduro  Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,1655575417.0,10.0,655.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
TEXAS HOLD EM,TEXAS HOLD EM,Beyonc,2024-10-02,426700979.0,34044.0,152928632.0,1213175656.0,159.0,257.0,194.0,177.0,2100708.0,1
Future,Future,official sound studio,2024-10-01,239850720.0,1.0,2.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,7382759.0,3504.0,661084.0,97746040.0,1.0,439.0,1.0,1.0,633525.0,0
STAY with Justin Bieber,STAY with Justin Bieber,The Kid LAROI,2021-09-07,3107100349.0,451732.0,134793519.0,4327058646.0,513.0,4096.0,166.0,128.0,854584.0,1
Baby Shark,Unknown,Pinkfong,2015-01-12,720822868.0,60945.0,7530769.0,2166611.0,33.0,142.0,19.0,17.0,2064420.0,0
we cant be friends wait for your love,eternal sunshine,Ariana Grande,2024-08-03,591068364.0,26203.0,197494995.0,578568464.0,194.0,32.0,117.0,126.0,1579980.0,0
Numb  Encore,Papercuts,JAYZ,2024-12-04,1003215671.0,128.0,485454.0,97746040.0,28.0,86.0,15.0,17.0,4474248.0,1
Danza Kuduro  Cover,Unknown,LOVE BGM JPN,2024-05-14,1645079292.0,32312.5,13264111.5,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
SHEESH,BABYMONS7ER,BABYMONSTER,2024-01-04,124893397.0,3479.0,25936342.0,38798822.0,36.0,32.0,3.0,26.0,191867.0,0
Water,Water,Tyla,2023-07-28,670376179.0,98450.0,150471020.0,3031114430.0,225.0,1215.0,180.0,188.0,6447136.0,0
Strangers,Strangers,Kenya Grace,2023-01-09,750154960.0,139141.0,103879363.0,1745168821.0,163.0,856.0,113.0,112.0,7477917.0,0
Too Sweet,Unreal Unearth Unheard,Hozier,2024-03-22,532012790.0,23557.0,67488850.0,384716227.0,221.0,64.0,42.0,47.0,854584.0,0
Whats Love Got to Do with It  2023 Remaster,Whats Love Got to Do with It 30th Anniversary Deluxe Edition,Tina Turner,2024-04-26,479417905.0,7.0,1519.0,97746040.0,28.0,86.0,15.0,1.0,3692067.0,0
A Bar Song Tipsy,A Bar Song Tipsy,Shaboozey,2024-12-04,311928522.0,25766.0,180237463.0,243895569.0,149.0,141.0,58.0,146.0,1707213.0,1
Lose Control,Lose Control,Teddy Swims,2023-06-23,775135157.0,88239.0,180617454.0,4016801205.0,215.0,162.0,133.0,120.0,10517831.0,0
fukumean,fukumean,Gunna,2023-06-15,759998727.0,188142.0,80392612.0,140623676.0,123.0,4003.0,40.0,88.0,3945184.0,1
Dance Monkey,Dance Monkey,Tones And I,2019-10-05,3071214106.0,375201.0,64901153.0,2428166573.0,549.0,169.0,584.0,121.0,44842636.0,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,214237645.0,10871.0,202626837.0,148058631.0,247.0,8.0,67.0,125.0,285858.0,0
Cupid  Twin Ver FIFTY FIFTY  Spe,Cupid  Twin Ver FIFTY FIFTY  Spe,sped up 8282,2023-08-04,170970614.0,27827.0,5784546.0,97746040.0,2.0,86.0,4.0,9.0,854584.0,1
Im Good Blue,Im Good Blue,David Guetta,2022-08-26,1658229422.0,262248.0,239957538.0,1425853925.0,285.0,2487.0,207.0,168.0,10973120.0,1
Daylight,Daylight,David Kushner,2023-04-14,1126820069.0,177800.0,85255689.0,1205538057.0,163.0,96.0,77.0,80.0,8681350.0,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,997702304.0,105927.0,92834002.0,298259422.0,91.0,2676.0,63.0,110.0,2682219.0,0
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,59314441.0,2572.0,183043096.0,110446147.0,199.0,2.0,73.0,98.0,47115.0,1
Houdini,Houdini  Single,Dua Lipa,2023-09-11,493627071.0,45300.0,87874006.0,3129834452.0,174.0,405.0,146.0,127.0,2389957.0,0
Danza Kuduro  Cover,GEKIATU BEST AGE SONG  CLUB SONG,MUSIC LAB JPN,2024-02-05,1655575417.0,9.0,85.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-10-02,304929492.0,43923.0,46133083.0,19218089.0,78.0,822.0,41.0,36.0,2227494.0,1
Despacito,Despacito Featuring Daddy Yankee,Luis Fonsi,2017-01-13,1747093405.0,178114.0,49464650.0,569548901.0,179.0,116.0,145.0,118.0,19622551.0,0
euphoria,euphoria,Kendrick Lamar,2024-04-30,168434320.0,17168.0,62516401.0,174375427.0,65.0,77.0,20.0,31.0,654482.0,1
Panda Basi,Panda Basi  EP,Mvua,2023-10-02,104271.0,249.0,8585.0,97746040.0,28.0,86.0,15.0,17.0,1881.0,0
Calm Down with Selena Gomez,Calm Down with Selena Gomez,Rema,2022-08-25,1391688322.0,163876.0,130963116.0,750030685.0,316.0,86.0,112.0,146.0,3521951.0,0
Shape of You,Shape of You,Ed Sheeran,2017-06-01,3909458734.0,316378.0,148037882.0,2294804623.0,465.0,282.0,512.0,115.0,1146246.0,0
Mitu,Mitu  Single,Maian,2023-01-19,55346.0,42.0,16861.0,97746040.0,28.0,86.0,15.0,17.0,200.0,0
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,4281468720.0,590392.0,165544011.0,2258085924.0,859.0,1116.0,564.0,184.0,28994660.0,0
Creepin with The Weeknd  21 Savage,HEROES  VILLAINS,Metro Boomin,2022-02-12,1337619917.0,228295.0,64806723.0,444033037.0,152.0,34.0,58.0,66.0,6205060.0,1
Dona Felicidade,Dona Felicidade,Patati Patat,2024-04-06,239850720.0,2.0,41206.0,97746040.0,28.0,86.0,1.0,17.0,854584.0,0
Danza Kuduro  Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,1655575417.0,1.0,3.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
Unholy feat Kim Petras,Unholy feat Kim Petras,Sam Smith,2022-09-22,1556275789.0,210583.0,95974138.0,1524133775.0,203.0,117.0,63.0,167.0,10192485.0,0
Stereo Love  Melodic,Stereo Love Deluxe feat Vika Jigulina,Edward Maya,2024-05-06,239850720.0,2.0,135.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Very Cute Melody by Marimba Tone 39813,Very Cute Melody by Marimba Tone 39813,mitsu sound,2023-12-31,1384.0,2.0,801.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Supernova,Supernova,aespa,2024-05-13,69729033.0,2483.0,21046278.0,32059104.0,40.0,13.0,7.0,14.0,63283.0,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-06-05,1811990630.0,173358.0,67603671.0,934894575.0,124.0,327.0,44.0,63.0,3393920.0,1
Back That Azz Up feat Lil Wayne  Mannie Fresh,400 Degreez Deluxe Edition,JUVENILE,2024-03-29,199929812.0,4.0,98.0,97746040.0,1.0,86.0,15.0,17.0,854584.0,1
Calm Down,Calm Down,Rema,2022-10-02,584427088.0,182994.0,19203258.0,2952879912.0,138.0,759.0,53.0,45.0,22563407.0,0
CARNIVAL,CARNIVAL,Unknown,2024-08-02,466887055.0,53842.0,103935623.0,33817299.0,42.0,86.0,11.0,29.0,1982000.0,1
Kill Bill,SOS,SZA,2022-08-12,1873746537.0,190202.0,99546318.0,426461749.0,214.0,5448.0,73.0,122.0,4873832.0,0
What Was I Made For From The Motion Picture Barbie,What Was I Made For From The Motion Picture Barbie,Billie Eilish,2023-07-13,891720245.0,114560.0,97542546.0,1384310160.0,168.0,68.0,108.0,111.0,4476509.0,0
Babba,Black Book IDs Chapter 5  EP,Guy Mac,2023-03-03,46567.0,252.0,21930.0,97746040.0,2.0,86.0,15.0,17.0,903.0,0
Heat Waves,Heat Waves,Glass Animals,2020-06-29,2996181078.0,486278.0,112416489.0,4899313022.0,459.0,1434.0,170.0,95.0,17848778.0,0
In the End,Papercuts,Linkin Park,2024-12-04,2045512421.0,97.0,488602.0,97746040.0,28.0,86.0,15.0,2.0,854584.0,0
Shakira Bzrp Music Sessions Vol 53,Shakira Bzrp Music Sessions Vol 53,Bizarrap,2023-11-01,946941510.0,100130.0,74836321.0,457987382.0,110.0,180.0,106.0,92.0,2237762.0,0
The Way We Move  Extended Mix,The Way We Move,PowerDress,2023-10-03,7909.0,38.0,15023.0,97746040.0,28.0,86.0,15.0,17.0,1412.0,0
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,1010494713.0,127393.0,18652312.0,939714925.0,63.0,2195.0,64.0,100.0,8856633.0,0
un x100to,un x100to,Grupo Frontera,2023-04-17,1008495696.0,99381.0,57394938.0,1522934425.0,101.0,225.0,42.0,81.0,2283747.0,0
Laxed  Sire,Laxed Siren Beat,Jawsh 685,2020-04-24,239850720.0,10230.0,1142937.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Sprinter,Sprinter  Single,Dave,2023-01-06,692512930.0,199828.0,55464762.0,918145630.0,155.0,36.0,41.0,76.0,3093667.0,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,169410711.0,11028.0,144854768.0,260377114.0,185.0,86.0,53.0,59.0,388625.0,0
TQG,TQG,KAROL G,2023-02-23,1024381758.0,78554.0,69319589.0,1174053183.0,138.0,38.0,84.0,131.0,3488226.0,1
Perfect,Deluxe,Ed Sheeran,2017-03-03,2969999682.0,280165.0,116921604.0,1708317539.0,208.0,129.0,343.0,102.0,854584.0,0
Pepas,Pepas,Farruko,2021-06-24,1500499584.0,359502.0,125112486.0,782475986.0,258.0,438.0,137.0,102.0,17210946.0,1
Peekaboo,Glide  Single,Dave Angel,2023-01-27,8082.0,63.0,32758.0,97746040.0,1.0,86.0,15.0,17.0,442.0,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,1215336974.0,129463.0,39814172.0,546259059.0,83.0,227.0,24.0,61.0,3435177.0,0
Dance The Night  From Barbie The Album,Dance The Night From Barbie The Album,Dua Lipa,2023-05-25,860026452.0,74769.0,139913794.0,1205266954.0,7.0,1100.0,82.0,17.0,3199636.0,0
La Bebe  Remix,La Bebe Remix,Yng Lvcas,2023-03-17,1032225805.0,94887.0,74469479.0,1690231413.0,83.0,177.0,42.0,48.0,2635577.0,1
redrum,american dream,21 Savage,2024-12-01,428233003.0,57311.0,144298748.0,977638660.0,74.0,56.0,48.0,60.0,2490071.0,1
Easy On Me,Easy On Me,Adele,2021-10-14,1720918065.0,209635.0,93875458.0,6353555150.0,325.0,1316.0,257.0,100.0,7569155.0,0
Tit Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-06-05,1514239759.0,190692.0,77283361.0,488048337.0,150.0,920.0,44.0,108.0,5133847.0,1
All My Life feat J Cole,All My Life feat J Cole,Lil Durk,2023-12-05,333202114.0,108322.0,41018697.0,735908540.0,148.0,146.0,30.0,60.0,4207535.0,1
AntiHero,Midnights,Taylor Swift,2022-10-21,1563224246.0,117005.0,97456780.0,724976542.0,261.0,1088.0,74.0,150.0,4703179.0,0
Quevedo Bzrp Music Sessions Vol 52,Quevedo Bzrp Music Sessions Vol 52,Bizarrap,2022-06-07,1692951462.0,209490.0,88591675.0,56677146.0,99.0,37.0,58.0,65.0,6836893.0,0
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,255076355.0,11500.0,90584540.0,273521596.0,67.0,137.0,9.0,44.0,659825.0,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,275349653.0,37806.0,22826643.0,2676837761.0,19.0,96.0,37.0,29.0,1245874.0,1
La Diabla,La Diabla  Single,Xavi,2023-02-12,649404552.0,27544.0,47789063.0,1795939912.0,29.0,462.0,34.0,26.0,1380069.0,0
Boys a Liar Pt 2,Boys a liar Pt 2,PinkPantheress,2023-03-02,851085705.0,129047.0,50996176.0,806434641.0,162.0,6243.0,65.0,130.0,2580691.0,1
Snooze,SOS,SZA,2022-09-12,1013350808.0,108036.0,86470319.0,560893301.0,154.0,513.0,60.0,61.0,3129609.0,1
BELLAKEO,BELLAKEO,Peso Pluma,2023-07-12,359803580.0,26065.0,79152427.0,4123457278.0,40.0,69.0,63.0,51.0,1002835.0,1
Agora Hills,Scarlet,Doja Cat,2023-09-22,509653100.0,66219.0,67521533.0,1561456615.0,80.0,14.0,78.0,39.0,4295361.0,1
Prada,Prada,cass,2023-11-08,609699748.0,128498.0,160755092.0,113545664.0,129.0,1570.0,167.0,100.0,854584.0,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,2024-02-05,5157486.0,470.0,2924720.0,97746040.0,3.0,86.0,2.0,17.0,47658.0,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,242070373.0,37170.0,74130983.0,15593731.0,106.0,5999.0,69.0,79.0,2219984.0,0
MONACO,nadie sabe lo que va a pasar ma,Bad Bunny,2023-10-13,478150858.0,73306.0,51842133.0,90954700.0,78.0,39.0,56.0,53.0,2255465.0,1
Laxed Siren Beat,Laxed Siren Beat,Jawsh 685,2020-04-24,61382407.0,7240.0,1708319.0,97746040.0,15.0,86.0,5.0,1.0,3819161.0,0
It Goes Like Nanana  Edit,It Goes Like Nanana Edit,Peggy Gou,2023-06-15,460156070.0,163449.0,127827271.0,56004473.0,28.0,86.0,102.0,111.0,9279625.0,0
Training Season,Training Season,Dua Lipa,2024-02-15,251153869.0,16811.0,92985554.0,2120552147.0,162.0,57.0,127.0,116.0,2047771.0,0
Type Shit,WE DONT TRUST YOU,Future,2024-03-22,205206688.0,28064.0,84737651.0,232440923.0,99.0,45.0,41.0,47.0,900933.0,1
Armageddon,Armageddon  The 1st Album,aespa,2024-05-27,32942304.0,1262.0,26204483.0,29510774.0,37.0,6.0,5.0,33.0,29736.0,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-06-12,1911559785.0,317345.0,87765033.0,2077511.0,255.0,181.0,138.0,28.0,11988760.0,1
INDUSTRY BABY feat Jack Harlow,INDUSTRY BABY feat Jack Harlow,Lil Nas X,2021-07-23,2014959725.0,354831.0,87942438.0,3191316960.0,360.0,925.0,109.0,74.0,12693846.0,1
Pedro,Pedro  Single,Jaxomy,2024-03-29,168145583.0,27654.0,159737263.0,39149568.0,107.0,86.0,158.0,54.0,2408838.0,0
Fast Car,Gettin Old,Luke Combs,2023-03-24,518988585.0,73116.0,58391498.0,103658014.0,117.0,59.0,67.0,104.0,3108167.0,0
BlingBangBangBorn,BlingBangBangBorn,Creepy Nuts,2024-07-01,247399972.0,22222.0,13870528.0,1041035733.0,53.0,86.0,18.0,17.0,1069500.0,0
Aesthetic,Aesthetic,Tollan Kim,2022-04-03,5712985.0,2311.0,535908.0,97746040.0,4.0,86.0,4.0,1.0,249823.0,0
Sunflower  SpiderMan Into the SpiderVerse,Sunflower SpiderMan Into the SpiderVerse,Post Malone,2018-10-18,3358704125.0,392082.0,123917182.0,484189798.0,351.0,86.0,86.0,99.0,1569935.0,0
Hands,Hands,Dian,2022-01-08,126914.0,8.0,212.0,26630093.0,28.0,86.0,15.0,17.0,295.0,0
Saturn,Saturn  Single,SZA,2024-02-24,343090427.0,21104.0,154253718.0,196380893.0,120.0,360.0,103.0,87.0,745798.0,0
Chegou a Hora de Ir para Cama Playback,3 Palavrinhas Vol9 Playback,3 Palavrinhas,2024-04-06,239850720.0,32312.5,13264111.5,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Believer,Believer,Imagine Dragons,2017-01-31,3006226762.0,335880.0,89243475.0,276194776.0,226.0,388.0,118.0,71.0,21306706.0,0
WAIT FOR U feat Drake  Tems,WAIT FOR U feat Drake  Tems,Future,2022-04-27,787155930.0,183850.0,58397185.0,3934416606.0,150.0,1308.0,32.0,69.0,3534164.0,1
I KNOW,UTOPIA,Travis Scott,2023-07-28,532605345.0,128534.0,31725858.0,259363238.0,46.0,57.0,33.0,40.0,1861958.0,1
ANDO,ANDO,Jere Klein,2023-09-27,292789738.0,28591.0,30905957.0,1969191415.0,11.0,86.0,15.0,1.0,1195337.0,1
First Class,First Class,Jack Harlow,2022-08-04,818858244.0,223609.0,49586777.0,3849170813.0,148.0,4406.0,37.0,77.0,4244972.0,1
FEN,UTOPIA,Travis Scott,2023-07-28,659010786.0,129923.0,93969186.0,244390161.0,87.0,361.0,46.0,38.0,1839283.0,1
Save Your Tears  Live,After Hours Live At SoFi Stadium,The Weeknd,2023-03-03,3913988.0,545.0,1054122.0,2651764724.0,28.0,86.0,15.0,17.0,854584.0,1
Losing Interest  Original Mix,Losing Interest Original,Goovex,2024-10-06,126247886.0,5.0,5973.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
I Aint Worried,I Aint Worried Music From The Motion PiTop Gun Maverick,OneRepublic,2022-05-13,1607421145.0,212406.0,160444270.0,2563240162.0,267.0,3418.0,111.0,75.0,9091826.0,0
MI EX TENA RA,MAANA SER BONITO BICHOTA,KAROL G,2023-10-08,438796949.0,23959.0,34805394.0,1337889706.0,56.0,959.0,29.0,38.0,865444.0,0
Drained of Color,Drained of Color,Exhumed,2022-08-30,158627.0,635.0,18765.0,1318392.0,28.0,86.0,15.0,17.0,208.0,0
Mood feat iann dior,Mood feat Iann Dior,24kGoldn,2020-07-24,1867736006.0,302486.0,82611625.0,2069527154.0,329.0,1897.0,273.0,85.0,10228436.0,1
Dynamite,Dynamite,BTS,2020-08-21,1872577908.0,144619.0,51186002.0,2199001119.0,323.0,198.0,355.0,98.0,7896781.0,0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,2023-10-12,8327.0,3.0,8.0,97746040.0,28.0,86.0,15.0,17.0,522.0,0
Someone You Loved,Breach,Lewis Capaldi,2018-08-11,3427498835.0,338763.0,160553919.0,2333853734.0,408.0,381.0,502.0,110.0,29266297.0,0
Acrs,Acrstico  Si,Shakira,2023-11-05,230849195.0,23091.0,12233221.0,150614267.0,49.0,214.0,25.0,33.0,623446.0,0
Made You Look,Takin It Back,Meghan Trainor,2022-10-21,720720922.0,74295.0,89509926.0,718932832.0,108.0,5869.0,43.0,59.0,3086624.0,0
PHONK BRASILEIRO FRESCO Slowed  Reverb,PHONK BRASILEIRO FRESCO,DJ MOIGUS,2023-06-22,1378494.0,351.0,43395.0,97746040.0,28.0,86.0,15.0,17.0,50550.0,0
Sooseki From Pushpa 2 The Rule TELUGU,Sooseki From Pushpa 2 The Rule TELUGU,Shreya Ghoshal,2024-05-29,2827545.0,62.0,1433870.0,97746040.0,28.0,86.0,15.0,10.0,5620.0,0
vampire,vampire,Olivia Rodrigo,2023-06-30,998964097.0,90793.0,87801398.0,1111017294.0,173.0,93.0,61.0,128.0,4872257.0,1
Casca de Bala,A Cara das Vaquejadas 30,Thullio Milion,2024-01-03,37157630.0,2052.0,30387641.0,149589609.0,11.0,86.0,32.0,11.0,42895.0,0
Back,Back,LOLA,2022-03-08,48428.0,92.0,15747.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
People,People  Single,Libianca,2022-05-12,631955547.0,121823.0,45030006.0,704906130.0,145.0,202.0,74.0,54.0,6121126.0,1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,2024-05-01,239850720.0,1.0,47.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
Lady Killers II Christoph Andersson Remix,Lady Killers II Christoph Andersson Remix,GEazy,2024-03-17,94635338.0,10537.0,11716074.0,97746040.0,13.0,2.0,15.0,8.0,1597467.0,1
I Dont Wanna Wait,I Dont Wanna Wait,David Guetta,2024-05-04,114574238.0,10564.0,180987712.0,3117914.0,87.0,159.0,128.0,133.0,854584.0,0
Abc,Abc,J Ross,2023-02-14,31867.0,5.0,5100.0,97746040.0,28.0,86.0,15.0,17.0,1178.0,0
La Bachata,La Bachata,Manuel Turizo,2022-05-26,1721045197.0,156941.0,97122096.0,420585933.0,142.0,1161.0,97.0,133.0,4817885.0,0
Unknown,Unknown,FLIP,2023-07-04,8028757.0,1972.0,488653.0,6879573.0,1.0,86.0,15.0,17.0,220198.0,0
Peaches feat Daniel Caesar  Giveon,Justice,Justin Bieber,2021-03-19,1612286123.0,282719.0,97390961.0,2889452237.0,348.0,789.0,342.0,90.0,7848760.0,1
Dont Start Now,Dont Start Now,Dua Lipa,2019-10-31,2607121959.0,270230.0,143953432.0,2374637534.0,581.0,954.0,632.0,118.0,13421701.0,0
Lucid Dreams,Lucid Dreams,Juice WRLD,2018-04-05,2548389305.0,339306.0,75858140.0,274498079.0,153.0,132.0,54.0,36.0,9308937.0,1
PROVENZA,PROVENZA,KAROL G,2022-04-22,1185929926.0,103026.0,64847502.0,763687717.0,115.0,688.0,75.0,90.0,3397861.0,0
WAP feat Megan Thee Stallion,WAP feat Megan Thee Stallion,Cardi B,2020-07-08,1325725696.0,171255.0,53040559.0,181452145.0,222.0,306.0,94.0,50.0,4618794.0,1
SPOT,SPOT,ZICO,2024-04-26,77757035.0,3407.0,35428519.0,24981456.0,27.0,51.0,2.0,20.0,173263.0,0
Family Matters,Family Matters,Drake,2024-03-05,72335127.0,8696.0,36774031.0,166330702.0,38.0,86.0,16.0,60.0,283217.0,1
Again,Missing,Kurochuu,2024-09-06,136237285.0,2.0,2190.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Seven feat Latto Explicit Ver,Seven feat Latto,Jung Kook,2023-07-14,1673557134.0,54950.0,91343768.0,1800517153.0,86.0,861.0,54.0,56.0,2310409.0,1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,922010059.0,107189.0,61174155.0,182412108.0,106.0,1846.0,7.0,38.0,2665347.0,1
Too Sweet,Unreal Unearth Unheard,Hozier,2024-03-22,532012790.0,22396.0,130752527.0,97746040.0,235.0,86.0,85.0,108.0,2580089.0,0
Bad Habits,NAME,Ed Sheeran,2020-01-01,1754311538.0,271758.0,62218811.0,3526952174.0,454.0,1035.0,352.0,136.0,15886717.0,0
QLONA,MAANA SER BONITO BICHOTA,KAROL G,2023-10-08,850810162.0,56104.0,79334561.0,590681204.0,72.0,4.0,57.0,83.0,1537093.0,1
Leave The Door Open,Leave The Door Open,Bruno Mars,2021-05-03,1312168384.0,248793.0,50068571.0,2421128623.0,308.0,309.0,120.0,103.0,10288388.0,0
Unknown,3,Unknown,2022-05-01,548408.0,130.0,20518.0,97746040.0,1.0,86.0,15.0,17.0,69763.0,0
good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,2167768056.0,309421.0,72787213.0,2285796743.0,355.0,1283.0,98.0,102.0,854584.0,1
bad guy,WHEN WE ALL FALL ASLEEP WHERE DO WE GO,Billie Eilish,2019-03-29,2516804300.0,296739.0,113315017.0,2066888119.0,432.0,1024.0,258.0,174.0,18994040.0,0
Seo,Shawn Mendes Deluxe,Shawn Mendes,2018-05-25,2738293818.0,251033.0,108433327.0,2305437038.0,380.0,378.0,570.0,89.0,15254141.0,0
DESPECH,DESPECH,ROSAL,2022-07-28,1003487432.0,126402.0,88024543.0,672233681.0,152.0,1077.0,105.0,97.0,3205234.0,1
ROCKSTAR feat Roddy Ricch,BLAME IT ON BABY,DaBaby,2020-04-17,1638836101.0,272933.0,50425049.0,201859518.0,216.0,62.0,98.0,47.0,7646337.0,1
Eyes Closed,Eyes Closed Piano Version,Ed Sheeran,2023-03-23,372423476.0,44730.0,21933393.0,961201576.0,132.0,287.0,32.0,68.0,2886987.0,0
I Remember Everything feat Kacey Musgraves,I Remember Everything feat Kacey Musgraves,Zach Bryan,2023-08-24,630373315.0,70400.0,105320547.0,207483261.0,95.0,35.0,47.0,112.0,1673932.0,0
Circles,Circles,Post Malone,2019-08-30,2481391466.0,332437.0,124491320.0,841624305.0,355.0,413.0,311.0,69.0,13634519.0,0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,2023-03-08,474590289.0,24891.0,25915889.0,1484713132.0,27.0,215.0,22.0,27.0,1173817.0,0
